Comment,Time,User
Đt hay bị tắt màn hình khi xoay ngang. Đã tắt nguồn bật lại mà vẫn gặp tình trạng này,17 phút trước ,Nguyễn Ngọc Hân
"A cho e hỏi phiếu mua hàng samsung có được trừ vô phụ kiện như thẻ nhớ, sạc dự phòng không ạ",33 phút trước ,Trương Thiện Tín
Mình mở khóa bằng khuôn mặt nhấm mắt vẫn mở đc dị là lỗi sx phải k,35 phút trước ,Bảo
Xã thuận an có hàng ở địa chỉ nào z shop,39 phút trước ,Bùi Cao Vĩ
13 ngày nữa e mới đc 20 tuổi thì đc k ạ,53 phút trước ,Nguyễn Đức Nam
xxxx765774,57 phút trước ,Nguyễn Đức Nam
E muốn mua trả trước 0d thì cần những giấy tờ j ạ,1 giờ trước ,Nguyễn Đức Nam
Cho e hỏi là :máy sạc cứ tới 70% là bị chậm lại v máy của e có bị j k v ạ ?,2 giờ trước ,Phúc
Cho em hỏi sao đt a50 cứ hay bị tắt màn hình khi xoay ngang vậy ak,2 giờ trước ,Nguyễn Ngọc Hân
Sao sạc 2h mới đầy pin zay ad ơi . Từ 18% tới 100% thì 2 mới đầy pin  ... sạc nhanh mà chậm zay ??,2 giờ trước ,Yến
